timestamp,user,device,ip,event_type,action,file,data_size
14:00,Vikram,DEV09,192.168.1.55,LOGIN,SUCCESS,,0
14:05,Vikram,DEV09,192.168.1.55,FILE_ACCESS,READ,daily_summary.xlsx,0
14:10,AdminUser,DEV99,103.21.244.2,LOGIN,FAILED,,0
14:11,AdminUser,DEV99,103.21.244.2,LOGIN,FAILED,,0
14:12,AdminUser,DEV99,103.21.244.2,LOGIN,FAILED,,0
14:15,AdminUser,DEV99,103.21.244.2,LOGIN,SUCCESS,,0
14:18,AdminUser,DEV99,103.21.244.2,FILE_ACCESS,READ,customer_database_dump.sql,0
14:22,AdminUser,DEV99,103.21.244.2,DATA_TRANSFER,UPLOAD,,1420
14:26,AdminUser,DEV99,103.21.244.2,PERMISSION,CHANGED,,0
14:30,AdminUser,DEV99,103.21.244.2,LOGOUT,SUCCESS,,0
